cust_id,name,ssn,bday,agt_id,card_type,card_number
125,Judd Moscon,729-46-8517,6/20/2000,,americanexpress,374622651084351
126,Joleen Brisseau,219-30-3773,6/25/1966,,visa,4244412618242155
127,Loralie Howen,321-51-8412,9/5/1993,,mastercard,5002352822254829
128,Carlen Ancketill,833-84-1193,11/11/1969,,americanexpress,374622584895451
129,Gibby Livezey,827-02-6293,7/14/1998,,visa,4041594748022
130,Sandor Tetla,608-91-9031,12/16/1983,,mastercard,5108751658345903
131,Berta Klimes,680-89-4298,10/23/1951,,mastercard,5209617295611841
132,Guinna Fyfield,890-41-9763,3/2/1958,,americanexpress,372301538889686
133,Rosalinda Fidilis,538-15-8120,7/9/1998,,americanexpress,337941350713904
134,Abbot Crummy,126-58-3365,5/21/1951,,mastercard,5010126890024391
135,Willey Elden,394-95-3350,7/3/1980,,americanexpress,337941857475700
136,Cyb Godley,730-73-3645,6/30/1968,,americanexpress,374622982834722
137,Toby Stollsteimer,536-70-7726,10/27/1967,,americanexpress,337941057668567
138,Tabatha McLaverty,741-74-7183,5/13/1995,,americanexpress,374283828601237
139,Margaret Gyenes,184-94-8229,2/13/1967,,visa,4017954358305
140,Pasquale Rodger,848-80-2296,9/12/1971,,americanexpress,372301715921294
141,Brnaby Paget,572-54-2197,10/31/1960,,mastercard,5141903010571093
142,Alessandra Sutlieff,739-77-2744,1/29/1970,,visa,4041374139952941
143,Rozanne Ewell,758-81-9961,9/13/1953,,mastercard,5007663050539722
144,Millard Barby,734-65-8767,2/25/1951,,mastercard,5108757804635188
145,Ezmeralda MacCulloch,851-19-5184,1/13/1987,,mastercard,5108754063473245
146,Juliana Rossin,847-67-3886,9/5/1991,,visa,4017959462524
147,Viviana Torrijos,319-88-1525,12/19/1964,,mastercard,5100149326690693
148,Kaye Coopper,604-11-9095,10/24/1989,,visa,4041595850379258
149,Dawna McCuffie,569-22-2987,2/15/1998,,americanexpress,372301133317042
150,Bartlet Ashfull,186-51-0943,4/15/1977,,visa,4041377758027937
151,Kippar Gare,773-03-9100,11/22/1989,,visa,4146305899160
152,Algernon Emberton,725-95-6202,7/12/1963,,visa,4041599288155611
153,Robinet Vakhrushin,566-55-3411,11/3/1964,,americanexpress,344775321479851
154,Marylee Voase,762-48-5731,8/14/1950,,americanexpress,373435687650819
155,Tod Dishmon,742-99-0631,7/24/1970,,visa,4694556783302
156,Erminia Bonde,888-15-8362,11/13/1973,,visa,4017952969459
157,Tildy Hayley,512-78-9317,8/31/1967,,visa,4017951090789261
158,Gwenette Kertess,498-61-7093,10/8/1989,,americanexpress,374288940796567
159,Palmer Basnall,830-58-1604,6/28/1993,,mastercard,5007660620661648
160,Rufe Gettins,352-51-8417,3/15/1980,,visa,4017955996942106
161,Irene Idill,116-30-2911,5/5/1991,,visa,4041370047987
162,Gris Heads,455-95-4880,6/22/1995,,mastercard,5002358437603185
163,Ashien Francombe,382-96-1309,7/12/1987,,visa,4041373532597139
164,Damara Vaudre,203-83-2549,1/3/1993,,visa,4041590621439
165,Chicky Jorgensen,610-56-6828,2/7/1983,,mastercard,5100172412692407
166,Aharon Heigho,223-02-8103,2/6/1973,,visa,4041379532398931
167,Farly Brine,202-60-4193,4/4/1956,,mastercard,5443650716651951
168,Maryjane Albrooke,522-97-0189,3/22/1955,,visa,4041371334361472
169,Rose Bernardon,686-07-5768,1/18/1991,,visa,4041598434696601
170,Valentijn Cumo,613-71-7651,3/29/1975,,mastercard,5108759568485164
171,Desdemona Hugueville,410-82-4740,3/25/1973,,visa,4041594577516151
172,Lindsey Emlin,778-66-6987,11/21/1950,,visa,4041598319757593
173,Serge Oboy,669-86-0454,3/6/1958,,americanexpress,374622786539071
174,Bailie Tritton,215-70-1361,1/7/1980,,mastercard,5219792177204151
175,Hettie Evreux,497-39-5781,5/6/1957,,americanexpress,374622227068987
176,Myron Baddiley,380-36-8940,4/16/1971,,visa,4041599048766
177,Marnia Brody,552-10-6524,11/28/1976,,mastercard,5010125000293219
178,Thekla Cullnean,674-43-3400,5/6/1990,,americanexpress,372301915903043
179,Tome Chiverton,688-66-6549,9/24/1989,,mastercard,5100178783859756
180,Farlie Prestwich,703-97-3917,7/15/1975,,visa,4017951183748
181,Brooke Golightly,565-63-3767,8/6/1975,,americanexpress,374892010251096
182,Benjamin Pridie,614-82-0539,4/12/1972,,americanexpress,374622618599707
183,Shelby de Clerk,438-71-9176,10/4/1971,,americanexpress,374283114034481
184,Glynn Droogan,284-60-5573,7/24/1982,,visa,4769235389740270
185,Louisette Byrnes,104-47-8736,7/18/1985,,mastercard,5048378177068478
186,Nathaniel Drysdell,848-88-7470,7/15/1970,,visa,4041370471608497
187,Gillie Semarke,415-27-7096,6/20/1974,,visa,4041377460481364
188,Jessamyn Colnet,843-10-4129,6/8/1967,,americanexpress,343874516213018
189,Ashlin Pillington,896-70-5534,7/22/1997,,visa,4017959148048119
190,Quincy MacAlaster,665-45-9757,5/9/1992,,americanexpress,344286545711129
191,Juan Jeaneau,287-54-5664,12/3/1980,,visa,4041378645975700
192,Fredric Parker,605-04-3285,10/26/1993,,americanexpress,374622751811943
193,Willey Lett,219-44-3605,8/9/1988,,visa,4620966062489053
194,Clarance Pavlishchev,619-62-9259,6/4/1977,,americanexpress,371338010967581
195,Lockwood Teligin,322-01-6736,5/5/1986,,americanexpress,374288118367183
196,Gwynne Kettlestring,745-55-7422,2/16/1957,,visa,4921126790820287
197,Janel Trowsdale,758-02-3940,8/10/1979,,visa,4041370772955944
198,Hazlett Libbey,209-64-2437,4/7/1970,,mastercard,5156790503876382
199,Phillip Girke,155-50-0049,9/2/2001,,visa,4041595871807
200,Hoyt Steels,512-64-4020,12/29/1962,,mastercard,5225859556362462
